MMR,enter_time,wait_time,times,status,every_wait_time
393.24690519463877,2995.10905536101,265,40,2,0
1164.8527520962698,2995.111374506628,280,48,2,0
435.96371444856277,2995.1504638534975,270,40,2,0
843.4145982653362,2995.221217640992,215,42,2,0
1220.0290575634972,2995.3413846189396,290,45,2,0
642.2763638926248,2995.357813125,225,40,2,0
817.108541064717,2995.370994280299,215,40,2,0
740.0355129024208,2995.404637390442,305,46,2,0
1565.9575939798726,2995.4958994484823,235,42,2,0
1303.7142698252549,2995.519556530616,255,45,2,0
1447.241685979,2995.537648120325,290,49,2,0
657.396274797618,2995.584513836601,270,43,2,0
1046.6606609821943,2995.6406117533134,275,47,2,0
1077.3064479197667,2995.6814226811757,215,40,2,0
1249.9826119330335,2995.7792052276336,230,40,2,0
1539.787337339482,2995.8655438684928,265,45,2,0
1360.4087469868464,2996.0485290560687,225,40,2,0
1329.428235101273,2996.141143276223,270,45,2,0
1507.7599357275387,2996.181309834378,285,49,2,0
1434.0596850174854,2996.4323112581455,280,48,2,0
1631.206317557527,2996.4373956553354,335,42,2,0
715.3820337036058,2996.5470449187387,265,47,2,0
1240.1310265848515,2996.5485991277956,235,44,2,0
1204.6393468754973,2996.5792701171663,255,48,2,0
772.4881060924167,2996.6575670348648,300,42,2,0
1367.3778276354053,2996.660349659206,275,44,2,0
1000.0744738697067,2996.7610635897804,230,40,2,0
699.960037946377,2996.929790202741,275,49,2,0
1008.7247445425525,2997.148564651005,260,46,2,0
949.5763876792403,2997.213583021464,295,49,2,0
1331.1423375479249,2997.2171256309866,220,42,2,0
853.1788511635002,2997.242169189123,285,49,2,0
1406.5613338312335,2997.270028647538,275,46,2,0
1665.671857758699,2997.3953611909055,240,41,2,0
1209.9295697873213,2997.529532041073,220,40,2,0
912.4009805047843,2997.5518284787145,250,46,2,0
1300.9628798948738,2997.686945684116,280,47,2,0
1149.4519663984315,2997.6984125723634,270,46,2,0
1509.327868732539,2997.787336420595,280,47,2,0
1109.5083014769384,2997.790523839664,280,48,2,0
1132.7321359788332,2997.804384015384,225,42,2,0
