MMR,enter_time,wait_time,times,status,every_wait_time
1091.408275582866,2995.28613967539,385,49,2,0
1064.7699901222954,2995.3285007293825,355,45,2,0
1089.3901325164543,2996.379477938113,450,44,2,0
1184.5715659372152,2996.923404438985,645,42,2,0
1111.4971144669266,2998.4844756024036,365,47,2,0
1125.0180835574245,3000.5680466853028,345,45,2,0
1135.4495701431315,3000.9688965904625,450,46,2,0
1068.41406244602,3001.044011086549,435,46,2,0
1035.1447721377942,3001.053907728894,480,44,2,0
1122.639822159831,3001.350948224349,430,44,2,0
1014.298592663906,3001.595905976703,430,48,2,0
1145.7903021235252,3002.291132862797,385,42,2,0
1078.5567962642908,3002.7241130987695,310,46,2,0
1048.5829148070034,3007.119405142284,555,49,2,0
1212.2662611762044,3007.514649792909,405,45,2,0
1126.7364914813932,3008.628625119087,415,47,2,0
1136.3996484242366,3008.9996321738563,385,46,2,0
1079.395566779424,3009.0843854281347,400,42,2,0
1045.7702227289446,3009.719513377937,370,47,2,0
1100.768165505486,3011.390085780263,510,41,2,0
1167.8237201703791,3011.60257123705,385,47,2,0
1078.8507635007204,3012.3286682011462,375,46,2,0
1113.8709471641716,3012.551773438294,395,42,2,0
1040.2641424129322,3013.4156758978406,430,44,2,0
1036.9547778790072,3014.5062663681624,475,48,2,0
1122.4751718102405,3015.047881364966,360,43,2,0
1037.605430586441,3015.5236937161358,420,49,2,0
1070.230557132516,3017.4364235317885,400,48,2,0
1047.7606485409233,3017.56389365382,525,49,2,0
1168.0962517870985,3018.1213477675615,350,45,2,0
1076.175182272022,3019.248338291057,425,44,2,0
1021.6237162846071,3019.810714071944,305,44,2,0
1120.3140044212867,3020.4392435244768,560,45,2,0
990.8851220779661,3020.820844146724,465,45,2,0
1070.97449904082,3022.215292776466,380,46,2,0
1050.0639517120658,3023.841259408661,405,44,2,0
1101.3205126455462,3025.296695278059,565,47,2,0
1017.6467954283013,3025.364798942621,330,45,2,0
1016.8112215820773,3026.1733963543124,485,50,2,0
1053.4418252291648,3028.78448647764,435,45,2,0
1166.1765764513896,3029.9134602795443,500,46,2,0
1111.917076989033,3030.7034174141468,350,42,2,0
