MMR,enter_time,wait_time,times,status,every_wait_time
1486.685841388625,2995.1859515102037,240,48,2,0
1077.8030158451652,2995.348156797113,200,40,2,0
1310.2836856850229,2995.706899517913,245,49,2,0
1566.5937557136722,2995.7278739218928,205,41,2,0
1194.1926258977926,2995.8079038648093,215,43,2,0
1531.718835685171,2995.8465855173627,245,49,2,0
1163.319908546954,2996.002486248739,215,43,2,0
1215.9333153161663,2996.0043372744794,215,43,2,0
1101.2422744457692,2996.009955394162,215,43,2,0
1789.600872646918,2996.015297149145,245,49,2,0
1207.2271709999854,2996.2711206214008,235,47,2,0
1711.5708518245729,2996.2841806070664,215,43,2,0
954.3455628807224,2996.317980337143,220,44,2,0
1195.6747411966653,2996.32225310608,220,44,2,0
1364.3085449887258,2996.3910595649595,220,44,2,0
1062.9661955054505,2996.419412521645,220,44,2,0
1243.4676601067076,2996.4456635216925,240,48,2,0
1233.65843411702,2996.463910904671,215,43,2,0
950.9364906923576,2996.4824771056733,210,42,2,0
1015.5189261988113,2996.6009319250497,220,44,2,0
911.2536603936369,2996.6188190699627,200,40,2,0
1414.493143493284,2996.6577022543242,230,46,2,0
1280.389357240916,2997.0238124035604,205,41,2,0
1545.561745598356,2997.1225162534056,240,48,2,0
1367.8916776621459,2997.2248097860875,245,49,2,0
1124.8151530946197,2997.4290726287063,235,47,2,0
1459.4471319169513,2997.6092572150837,210,42,2,0
1150.6042568589066,2997.6360199569576,245,49,2,0
863.6607733196835,2997.7044370121703,240,48,2,0
1793.8872327804477,2997.8050021146846,270,49,2,0
1217.6135484130034,2997.900652379066,210,42,2,0
1122.3655228758053,2998.191856508716,210,42,2,0
852.1807372629539,2998.198879123486,215,43,2,0
1002.8407970047106,2998.2006338327437,220,44,2,0
1622.2229259164887,2998.230982302415,240,48,2,0
1043.6822647658826,2998.303308495366,245,49,2,0
1450.8487697837206,2998.4018230349748,225,45,2,0
1317.7554870583524,2998.4724491353777,230,46,2,0
1323.3865590141352,2998.51840911227,210,42,2,0
922.7115730242048,2998.6255070335255,230,46,2,0
1126.8053817087327,2998.673731770773,245,49,2,0
1831.5472894178483,2998.679168035093,245,45,2,0
972.3761162561018,2998.7618931717084,225,45,2,0
1432.9947338569639,2998.7939994446656,245,49,2,0
1368.1859513507502,2998.8622842539926,240,48,2,0
1034.0417446907977,2998.9623839023834,200,40,2,0
1656.8039039041564,2998.991827934942,240,48,2,0
1776.2952776673278,2999.051508867068,230,46,2,0
1069.0937166431518,2999.0849486615343,225,45,2,0
1288.968585854566,2999.115362450142,220,44,2,0
1593.8035254349736,2999.1314175855305,210,42,2,0
