MMR,enter_time,wait_time,times,status,every_wait_time
1509.904874496276,2995.0550357214597,580,46,2,0
1087.1275247491978,2995.2859406856132,255,41,2,0
1323.5691110199043,2995.530753915001,365,47,2,0
785.4126513790932,2995.5684051754297,400,49,2,0
704.3122231908471,2995.5919771806393,395,46,2,0
1442.1444065260816,2995.6721391902247,265,40,2,0
1233.6365877247124,2995.74144291601,260,42,2,0
994.7886498496781,2995.8553492986694,285,45,2,0
1039.573825721924,2996.0024293312795,295,42,2,0
1040.6104205923973,2996.0212396555416,240,42,2,0
1130.5730133566028,2996.05429814273,280,48,2,0
1476.934034039475,2996.160345441026,315,46,2,0
1093.4413229034208,2996.2036984089796,300,49,2,0
1124.5793663308664,2996.4295046894845,290,48,2,0
1368.8867504617795,2996.4817091826494,310,47,2,0
1214.9805227093796,2996.4829742304437,270,46,2,0
1216.560638770272,2996.484317609181,355,48,2,0
736.517768336849,2996.702189194267,345,44,2,0
1419.945882379838,2996.7845705566865,335,45,2,0
1155.5138636477218,2997.033305409505,305,49,2,0
1273.4061612352282,2997.0532704217453,335,48,2,0
1118.7247046964144,2997.108557365197,305,47,2,0
1096.700495131278,2997.1822824503897,250,41,2,0
1259.284085743733,2997.2298735928093,245,41,2,0
1022.9534409861882,2997.571353416741,330,45,2,0
699.7562743282997,2997.8617697903746,260,42,2,0
1297.1103959502582,2997.9515984890036,375,46,2,0
1228.6755695515258,2997.959212720262,300,49,2,0
1129.2485916704222,2997.9662156505883,280,46,2,0
855.2895009902545,2998.064023396155,305,40,2,0
1160.4727563082483,2998.1100370997938,265,40,2,0
1213.1116148119356,2998.132770795412,260,42,2,0
784.1093089391693,2998.154610073228,430,49,2,0
975.808546991548,2998.163306644653,290,43,2,0
1076.5506356197823,2998.4965315962354,270,40,2,0
1421.7201087910232,2998.6365568923507,275,43,2,0
1048.6823093685894,2998.849790658744,250,41,2,0
967.5022520510356,2998.889052661494,295,46,2,0
748.1540406234861,2998.9345576130518,360,44,2,0
1327.7302570218194,2999.052243856595,320,41,2,0
1383.6114903331986,2999.2066754676116,335,43,2,0
960.7984145391475,2999.208274533158,265,42,2,0
934.3591672727056,2999.406814393882,435,49,2,0
850.3673639424164,2999.5403287742406,380,44,2,0
1211.5022338854365,2999.596452466388,280,42,2,0
1312.6333671155412,2999.6855626550337,305,47,2,0
1201.9057636064324,2999.738771235146,365,48,2,0
1228.850435245375,2999.7868296651122,345,49,2,0
1178.6304673418485,2999.862024128074,215,41,2,0
1390.0921977493733,2999.878194813191,250,43,2,0
1382.8051311865304,2999.887498026994,355,46,2,0
914.5698588337282,3000.1001605766514,300,44,2,0
1076.2968860504063,3000.1367723832213,255,45,2,0
1004.2034076224271,3000.1725504744813,270,47,2,0
1197.3462864331964,3000.2099296430515,285,43,2,0
1340.6096717733335,3000.4114763543607,400,44,2,0
1324.5931053305703,3000.715686241846,415,45,2,0
1384.6696528043935,3000.860463696031,360,47,2,0
1108.824043447013,3000.948486365289,320,46,2,0
861.5252180394892,3001.055129601618,390,49,2,0
949.9793088529968,3001.083795519914,300,44,2,0
782.3111748079747,3001.1514291792855,410,42,2,0
1149.9370983970553,3001.4263044499676,265,45,2,0
962.2499749287055,3001.679245927591,330,47,2,0
1144.7069654502093,3001.7167208699893,245,44,2,0
1313.223281505909,3001.7217444664548,335,44,2,0
1166.8746132072704,3001.8284519281497,255,43,2,0
1473.5475976214846,3001.9395105284425,355,50,2,0
996.8854858472697,3002.025117540169,260,43,2,0
811.282023567413,3002.3654821864866,300,41,2,0
1051.0479588846058,3002.444532828158,255,49,2,0
825.2516085572574,3002.537803059381,265,41,2,0
1015.3615246579186,3002.5614110760644,295,48,2,0
1247.9706352467667,3002.5811022333096,450,50,2,0
1148.1660521722558,3002.647426782485,265,49,2,0
834.1098708261907,3002.7168463217013,325,47,2,0
1463.1045924788853,3002.7715167012648,375,48,2,0
1475.1571193986113,3002.7817418904556,470,49,2,0
1106.7628978147766,3002.984407029615,235,42,2,0
914.9193607023411,3002.992128730858,265,42,2,0
1061.5550619642486,3003.002288472432,335,46,2,0
1211.576817046226,3003.127110334876,340,47,2,0
828.5882275795416,3003.1939006838297,260,41,2,0
1244.2031178118855,3003.410856510691,335,46,2,0
1025.3719484751925,3003.534960407671,280,47,2,0
1067.83829638585,3003.7281269928435,245,43,2,0
975.1635544126257,3003.7629699212957,300,46,2,0
924.0744341121108,3003.8156732396283,285,41,2,0
995.7837799316144,3003.9095725764696,280,46,2,0
1037.8666163488192,3003.921669690966,285,44,2,0
1105.7424147772447,3003.9654707401364,350,50,2,0
1165.82880694128,3004.0252743620317,325,49,2,0
881.039617027876,3004.1924167369234,270,44,2,0
1193.0113292743556,3004.2906302309925,240,41,2,0
1086.3455991893904,3004.4900511455835,290,49,2,0
774.447596242001,3004.5721056269326,350,49,2,0
1430.0291551768796,3004.590317009093,315,44,2,0
814.7922320893337,3004.5979961910953,300,44,2,0
1180.9729926992732,3004.6398304425165,285,46,2,0
1033.9063000383405,3004.673980934368,235,43,2,0
1206.6812489161448,3004.7109449538575,280,43,2,0
1107.1103336296283,3004.7769624673383,245,41,2,0
1000.5567318136366,3005.0030724640615,310,42,2,0
759.9106025417893,3005.017825116669,340,44,2,0
1531.5575981180202,3005.0945065098367,355,43,2,0
930.4070822529058,3005.216376401212,280,44,2,0
1199.6575490151945,3005.3173391329274,255,42,2,0
1311.4127091334508,3005.3763281652173,260,43,2,0
1100.3939362117405,3005.4314139622793,250,44,2,0
1389.3847170454692,3005.503743600795,290,42,2,0
1016.6815442806519,3005.514944820119,315,47,2,0
843.1673442273498,3005.559550623793,275,41,2,0
1222.2848103566953,3005.574534622784,300,50,2,0
1059.569458872872,3005.6455117213372,350,50,2,0
1148.5554472986305,3005.838489359204,255,41,2,0
1028.7913372244327,3006.013815977276,420,50,2,0
1130.3112212703445,3006.0588472639874,290,41,2,0
797.411725786726,3006.0671373597834,305,44,2,0
1485.6536839230482,3006.0749732538507,285,42,2,0
1068.1877384514287,3006.1749940988466,360,48,2,0
870.6612423058853,3006.307928955913,275,43,2,0
1262.624931286881,3006.3337435775416,330,49,2,0
789.3840932579634,3006.5098574192816,330,44,2,0
1377.343104952291,3006.67468355885,335,50,2,0
1273.2355490142631,3006.689664113708,300,47,2,0
1343.5278339261401,3006.9325391346574,290,45,2,0
1065.2661347655098,3006.9514301280333,290,44,2,0
1282.726213880198,3006.968581302206,345,50,2,0
1115.9504400789128,3007.114192602389,310,43,2,0
1270.1351153708965,3007.2355048178943,375,50,2,0
1424.655052645042,3007.342394633937,370,43,2,0
822.2611596664976,3007.5322553057968,310,45,2,0
760.8904946188985,3007.552392926389,425,49,2,0
971.3970633633055,3007.8002511603777,335,47,2,0
931.8582153373983,3007.825855622584,370,49,2,0
1081.4672660788058,3007.828788481086,380,48,2,0
883.7662302608094,3007.8838883652015,335,50,2,0
1448.7747071070482,3007.9180660312495,415,47,2,0
876.880412780924,3007.9182226999087,270,43,2,0
1346.11375981684,3008.1422945039285,285,42,2,0
1000.5051894023991,3008.168816436624,330,43,2,0
910.0553222991784,3008.2297998819404,290,44,2,0
1176.8356402443337,3008.2481355573073,310,48,2,0
1169.7101682241985,3008.381463088463,280,42,2,0
1430.352050076375,3008.3930624705754,315,47,2,0
1434.0510432145484,3008.5306159865113,425,48,2,0
1142.7149386449441,3008.5559562596122,325,46,2,0
1102.163609584469,3008.8078643473896,310,50,2,0
961.6991338418898,3009.0309947388723,320,44,2,0
1345.6557504175614,3009.1154981039804,345,46,2,0
1064.3913002213064,3009.2455331089805,275,44,2,0
955.349307727915,3009.3653433298673,285,45,2,0
738.7644520728983,3009.6171807864976,370,41,2,0
1257.4533156542882,3009.683899047404,315,47,2,0
1232.6455701594507,3009.912194583676,305,42,2,0
1279.8878656268992,3010.0544883715843,240,41,2,0
1286.1912596613342,3010.0591487512065,305,46,2,0
1011.4161201361574,3010.2571569246184,295,43,2,0
928.1360143247999,3010.2976644246714,310,45,2,0
916.3910990797343,3010.325243273981,290,46,2,0
690.4338426878677,3010.373626143053,485,50,2,0
948.866761127341,3010.401455350937,305,46,2,0
800.2188301077183,3010.46176607481,290,44,2,0
1218.8646035949532,3010.546043531471,315,50,2,0
936.0137565681371,3010.7689832378646,280,50,2,0
939.373267207531,3010.8874615508084,335,48,2,0
1379.4422936721855,3011.08770497605,315,45,2,0
1317.9582273858966,3011.0913700303245,285,46,2,0
1046.0848739820667,3011.266164779384,335,49,2,0
1148.3107755375568,3011.392257917734,240,44,2,0
1144.5627381497522,3011.4648189303007,355,48,2,0
1441.2469816856367,3011.485117442106,360,45,2,0
813.4034477272377,3011.6869392287413,325,45,2,0
1306.2972383118074,3011.7137778144292,385,49,2,0
1094.3743869361358,3011.971599078678,300,50,2,0
806.156535258202,3012.09512996083,300,48,2,0
1249.2009625258943,3012.191914165374,300,44,2,0
1335.2602774700827,3012.2970566506915,355,48,2,0
875.6055433911904,3012.339453468834,350,44,2,0
1417.0235028868506,3012.339712972203,345,47,2,0
812.1455056401091,3012.664272880972,355,46,2,0
959.9901241720023,3012.7838626156486,240,43,2,0
1016.0037717832222,3012.984211449165,355,44,2,0
1190.498555456707,3013.029256229698,270,44,2,0
1046.6138753930436,3013.14644766351,340,49,2,0
1187.3595471053914,3013.197940983518,355,45,2,0
1118.5238548410257,3013.2794811599847,325,43,2,0
1018.2592501180793,3013.2866128978067,375,49,2,0
1251.6452616738688,3013.333035179062,255,42,2,0
889.3842259432442,3013.3870579739983,300,47,2,0
878.1797970011294,3013.403493268602,255,41,2,0
994.1694418970166,3013.566939655141,275,46,2,0
1309.6673445775452,3013.8452483350434,230,42,2,0
1242.0188102895527,3013.8758797523606,255,43,2,0
880.362341457735,3013.972574520144,235,42,2,0
1449.4432286485364,3014.215898130433,325,42,2,0
1206.8415132197213,3014.2229285977187,315,43,2,0
1129.4727263793845,3014.241510590417,390,49,2,0
1391.5873124249674,3014.255539973896,290,42,2,0
1279.3907490829015,3014.4175644356037,310,49,2,0
1377.5205209563535,3014.437410708033,360,45,2,0
1144.6107681896763,3014.5304981272616,345,47,2,0
1466.3175291524635,3014.6585738745675,420,49,2,0
907.7182680349663,3014.6764524639116,255,41,2,0
1179.302694441743,3014.689670775424,305,43,2,0
1235.4411583971325,3014.781102186539,310,45,2,0
1348.280792928235,3014.8141706017786,330,41,2,0
841.1638258325117,3015.206083566247,265,46,2,0
925.9578755837346,3015.2125111418004,295,43,2,0
1081.07209083208,3015.269526905937,370,47,2,0
1315.2343254194086,3015.4561564194664,280,44,2,0
926.104480477205,3015.5171929425187,310,46,2,0
1414.8613261685757,3015.6703521692816,295,42,2,0
1062.0745915249497,3015.7144146397254,340,49,2,0
1174.1939474099097,3015.7281912491385,380,50,2,0
983.6110751602907,3015.768413224261,270,43,2,0
1399.8342196509755,3015.86030224883,320,47,2,0
982.747581841148,3015.933723373208,270,41,2,0
1149.5409633505342,3015.943359947064,270,44,2,0
924.9470743572869,3016.1337317261723,325,48,2,0
1030.6659560164446,3016.1420769363717,225,42,2,0
1158.4244190590175,3016.300593013243,260,47,2,0
655.5110312677243,3016.318302159465,285,47,2,0
924.4511785946222,3016.3198429760387,295,42,2,0
684.946946491993,3016.326180868794,385,46,2,0
1445.838491329013,3016.4746021422097,305,44,2,0
1464.5104168607427,3016.6397583046783,440,50,2,0
1111.1534949579525,3016.7067554788127,275,44,2,0
1509.4793985143704,3016.7285922366655,355,48,2,0
1491.982967946461,3016.7405073061445,325,46,2,0
1058.5494337144994,3016.792795824728,265,47,2,0
727.3388570006252,3016.830588533442,285,49,2,0
685.1781104047093,3016.8443969874766,405,45,2,0
1204.8547004194468,3016.962727199482,400,46,2,0
870.9453703455933,3017.0521038753427,240,43,2,0
1046.9483517812469,3017.1866115500525,285,43,2,0
896.6646437554649,3017.196896852336,380,48,2,0
1211.1138351881673,3017.2155288863482,260,42,2,0
1328.8487007123174,3017.374024381581,245,41,2,0
774.7115365096637,3017.425160253528,300,48,2,0
894.1166566570269,3017.43636954119,375,50,2,0
653.6453032399099,3017.658627629885,490,47,2,0
1017.4385377812416,3017.7435701884087,245,42,2,0
863.0117588145972,3017.7453677524995,225,42,2,0
1113.8477736604768,3018.0775236229892,380,49,2,0
894.328521666554,3018.2949988796,325,47,2,0
1076.4516653820538,3018.3872530841027,325,50,2,0
1352.4929921661405,3018.4134038450293,380,48,2,0
1216.7045882189939,3018.505322117273,335,47,2,0
1041.1343005171127,3018.6469623015178,295,46,2,0
1140.2259083035794,3018.8097728668126,305,41,2,0
822.3787664841929,3018.8748225961144,275,47,2,0
1244.6997110571112,3019.1622601339614,340,44,2,0
768.5688319012659,3019.16341813695,305,43,2,0
757.4951705681959,3019.384456775429,335,49,2,0
752.209702384922,3019.475464590791,350,42,2,0
843.6018000452806,3019.5034064850424,270,44,2,0
1250.4317322094291,3019.5290930813608,300,44,2,0
1381.287343753803,3019.6204313379326,375,48,2,0
802.1211376317999,3019.644353500133,315,43,2,0
863.1157784958424,3019.6456990173765,305,48,2,0
1361.810369299703,3019.6964994131076,345,48,2,0
733.4996728694648,3019.8009926768455,300,44,2,0
1005.2978144667246,3019.8536935088637,295,44,2,0
788.487381781918,3019.902167581826,300,47,2,0
1254.9083264719263,3020.0026216411416,270,41,2,0
1156.9365645453686,3020.1641487998263,350,49,2,0
1110.585440278637,3020.2830841386753,330,48,2,0
1265.679442250067,3020.31176047539,285,50,2,0
808.9585958987112,3020.4100469954074,260,42,2,0
933.887619569875,3020.478287166941,285,47,2,0
1475.1037329292583,3020.5043236896354,340,44,2,0
1051.4734056629325,3020.5905781434076,300,43,2,0
1080.6143294650497,3020.5957534881245,325,45,2,0
1218.4709260628329,3020.613401959867,255,44,2,0
980.1764934853345,3020.629894441239,335,50,2,0
1390.505637250643,3020.6326527257484,280,41,2,0
1352.021905964767,3021.0541948322625,240,43,2,0
950.4430978371606,3021.067797166812,250,42,2,0
1295.977746880543,3021.11160935113,295,44,2,0
986.5743709164349,3021.195808765875,330,48,2,0
1029.1840688833531,3021.2446561395213,295,44,2,0
771.591482829633,3021.353916147632,285,42,2,0
1160.934145156935,3021.7410987779986,295,45,2,0
1227.74904149373,3021.757847899661,330,47,2,0
1251.0355144770385,3021.7811440201667,345,44,2,0
1152.7596509692507,3021.804889468458,285,50,2,0
1309.6733314209282,3021.8322585739597,275,41,2,0
767.2670507185852,3021.838292438745,355,45,2,0
1027.312328936787,3021.845695699403,245,41,2,0
1393.2815994834318,3021.8635495739973,330,49,2,0
1266.854038757994,3021.87224870932,280,50,2,0
880.4630993849645,3021.8873202738246,310,46,2,0
923.1588590330172,3022.039855251439,345,46,2,0
829.8143106043764,3022.11472123186,295,43,2,0
1344.2799313028772,3022.3816358581807,290,46,2,0
1023.3637735142449,3022.4693955527873,295,42,2,0
1345.754667017827,3022.5507233600565,245,41,2,0
1238.0212898072875,3022.588319606779,255,41,2,0
733.3334997116134,3022.658080122488,315,41,2,0
864.536007986689,3022.668901656757,280,46,2,0
888.4408277212231,3022.9015726020234,260,41,2,0
843.0123798816929,3023.1009761724554,365,47,2,0
1353.1214898075812,3023.2009709779823,305,49,2,0
1190.2004035628472,3023.2473251828715,360,50,2,0
1363.7026199480654,3023.2535978902906,280,41,2,0
837.0349426084048,3023.3027225472315,345,47,2,0
1102.9267574550627,3023.598177895978,300,48,2,0
835.6479654002565,3023.6580707272688,370,48,2,0
1313.7460626086192,3023.705408484608,360,46,2,0
1053.6748518946351,3023.8026566928097,280,42,2,0
1280.9420436932367,3023.813391816535,270,43,2,0
1189.9037705694905,3023.8454291660983,285,42,2,0
1464.381932955718,3023.884489081624,320,48,2,0
1058.3195387723865,3023.8950255198797,275,45,2,0
1007.9279161583495,3023.99070928578,295,41,2,0
899.6324368527999,3024.0930330926103,355,47,2,0
1428.5626130770977,3024.2606180291614,325,48,2,0
713.2755074306806,3024.2741703983356,370,46,2,0
1394.90783891593,3024.3124801466197,245,42,2,0
1419.5925441985867,3024.3680499156203,340,47,2,0
973.2929047520443,3024.369481554095,330,49,2,0
946.9489215139986,3024.4985653863673,250,41,2,0
1110.8496501530697,3024.8617041916627,265,44,2,0
1387.7383607190081,3024.898423421321,270,43,2,0
750.4444310007931,3025.0877150258966,320,45,2,0
1448.5786743665685,3025.195038594871,275,47,2,0
1372.9434064569348,3025.2079839552703,265,41,2,0
1487.0587127952695,3025.271485874026,330,47,2,0
886.9257291892989,3025.3074593818556,275,41,2,0
712.1003699000789,3025.3316505889734,325,43,2,0
1191.564644004314,3025.4796623041116,305,42,2,0
832.857387166439,3025.5721622306114,280,44,2,0
1489.7788008013504,3025.633499559547,320,44,2,0
1157.5658272539465,3025.8768468173016,265,43,2,0
803.8204346852655,3025.9235426712394,285,45,2,0
1281.8778275515858,3025.974229044399,320,45,2,0
1315.1839504156228,3026.16710111978,260,41,2,0
745.9068759621513,3026.5123479501167,455,48,2,0
1005.3379878391614,3026.634770640113,275,42,2,0
1073.9167663737028,3026.7439156644396,280,43,2,0
1308.3061374467322,3026.7759769872737,305,48,2,0
1415.3728848864837,3026.812009479372,290,45,2,0
963.9068066091655,3026.8379842283307,340,46,2,0
972.801320742451,3027.053556288033,270,41,2,0
1080.1673779418882,3027.054553951486,315,45,2,0
993.1460738120998,3027.1794385328985,265,41,2,0
1330.5728718159537,3027.2524513442595,335,48,2,0
1136.3075093853772,3027.27992445899,340,45,2,0
1156.491976320382,3027.4435802810817,405,50,2,0
954.2739403231164,3027.514098138154,315,48,2,0
1239.1114282558142,3027.586296035576,405,50,2,0
940.4770042398422,3027.8140659512987,300,46,2,0
733.3950275260062,3028.117397698523,380,44,2,0
1188.0987183135858,3028.1395640287883,345,47,2,0
1291.0588018514482,3028.1768275477066,325,42,2,0
880.8508299833759,3028.2646679798527,350,48,2,0
1099.8576082236043,3028.2932307805677,270,42,2,0
902.4817988223176,3028.323922824834,270,43,2,0
1341.4404782809916,3028.363452111599,275,45,2,0
930.4627033118779,3028.3928048015086,330,44,2,0
1306.118432218773,3028.4207677499576,415,49,2,0
1088.4756481374106,3028.450662721874,275,43,2,0
1109.7046610122322,3028.457812595178,270,44,2,0
827.7708878461738,3028.629147748959,400,50,2,0
1367.4807130428726,3028.744963959878,325,49,2,0
949.2107444523907,3028.957354289586,315,44,2,0
1218.2738825974002,3028.9757631852926,305,41,2,0
1430.5588515443294,3028.9820985905367,305,47,2,0
1344.7321487819495,3029.0862405101975,270,43,2,0
1032.6813548902433,3029.3980649365885,295,43,2,0
1237.5067975819902,3029.7883210474147,355,50,2,0
1190.508151160147,3029.898775391125,310,44,2,0
1130.1634800686834,3029.944389705439,310,44,2,0
849.8624118149254,3029.974338575278,355,49,2,0
887.7833181889869,3030.091124952547,360,48,2,0
1081.0096082781104,3030.1432522323057,355,49,2,0
1097.8333844781691,3030.172863810938,300,43,2,0
1196.1507056609737,3030.2142877765464,320,42,2,0
953.4908597346105,3030.2631306691355,335,48,2,0
1137.2220774084442,3030.27844215213,240,42,2,0
957.2679620838246,3030.29084655263,350,43,2,0
1369.1415975280697,3030.298295862539,325,46,2,0
1382.3256616163242,3030.3527980050185,280,50,2,0
1363.9096806591022,3030.4788906036724,250,41,2,0
1030.6378281568998,3030.78588538045,325,45,2,0
991.5766785938216,3030.9583631467067,260,47,2,0
1050.836052567339,3031.120494995889,230,42,2,0
924.4439546096481,3031.1570175779907,275,42,2,0
1157.6803100224115,3031.2865105821306,335,44,2,0
1129.5180108424147,3031.537760870925,310,46,2,0
1091.8815831046804,3031.6446690349576,320,44,2,0
1200.0196664057876,3031.652465392879,325,48,2,0
972.1278384967173,3031.9163133281127,270,42,2,0
1037.386911058601,3032.0295975221597,275,44,2,0
1006.2788824509174,3032.035032982366,260,43,2,0
979.4622443568045,3032.0898717684995,365,50,2,0
791.7208074251636,3032.1981718393754,465,45,2,0
771.074770400806,3032.2507987880317,270,44,2,0
1223.836630296898,3032.2959419111694,255,41,2,0
861.4048942438777,3032.4542344242964,325,47,2,0
1103.761758254952,3032.458194569874,300,49,2,0
1252.9247471810809,3032.472578420899,380,46,2,0
