MMR,enter_time,wait_time,times,status,every_wait_time
628.6036040377809,2995.0857532586883,265,42,2,0
704.6678117441355,2995.1904225343596,335,49,2,0
811.8590741320454,2995.2221617938885,220,40,2,0
951.797759470336,2995.22219202354,225,40,2,0
879.1695428949644,2995.413579721457,265,47,2,0
1042.677672126662,2995.4144740379807,250,41,2,0
818.6148622281121,2995.4190197001144,240,43,2,0
1700.1004801994509,2995.426612496394,300,43,2,0
1103.3251877949642,2995.515581885523,255,44,2,0
888.3572879598782,2995.619724238953,310,46,2,0
865.0647717340938,2995.696930317387,265,48,2,0
1567.3611941253978,2995.722137401486,260,49,2,0
593.9468830574964,2995.742108558143,250,43,2,0
518.2522330385027,2995.776375715962,325,43,2,0
652.4753245277589,2995.9243153157495,260,45,2,0
1505.8649042833254,2995.9267425929693,240,44,2,0
1473.1557862983063,2995.967889685607,245,46,2,0
1535.8872036173,2996.020948270858,255,46,2,0
910.0868704384862,2996.106979180119,260,42,2,0
1019.781243622983,2996.1505788098375,225,42,2,0
426.924664466801,2996.331142527898,345,42,2,0
1496.6354975095899,2996.427991514637,295,47,2,0
934.8233733027092,2996.4405117760443,245,42,2,0
664.9110348434546,2996.5835687476956,215,41,2,0
926.9781027981662,2996.6144887575783,225,40,2,0
1398.065369410609,2996.7193900951934,250,40,2,0
1723.4823483252896,2996.7333330377974,340,43,2,0
1483.7141583031066,2996.7566645515585,245,47,2,0
1592.581556545714,2996.779975161202,295,47,2,0
972.0934335245767,2996.8298356362952,260,45,2,0
1567.8093533317717,2996.9346804298093,230,43,2,0
553.4348206953339,2997.165895379014,335,47,2,0
1657.9941552023665,2997.2301473459343,270,48,2,0
1555.5215136149984,2997.288791413465,200,40,2,0
1537.984025522614,2997.3581099226176,250,43,2,0
748.6883055757447,2997.4181989570975,270,44,2,0
1510.4012134965067,2997.441169307992,270,46,2,0
1013.602166862799,2997.5209432806037,205,40,2,0
576.5367140524941,2997.5407582793814,345,47,2,0
1302.8100175986433,2997.6708402352087,335,47,2,0
1376.804540997646,2997.7394344689055,230,43,2,0
974.7114290255303,2997.907083450926,265,45,2,0
1147.157598614153,2997.9250187518946,350,49,2,0
770.9718759676605,2997.99096771551,340,45,2,0
1607.6969414423938,2998.01335477391,275,40,2,0
1435.9075323918237,2998.037508888079,285,45,2,0
1277.20707640386,2998.2424491623665,255,41,2,0
965.9756872108086,2998.2913674551232,230,40,2,0
1439.592645607819,2998.455031485607,245,45,2,0
1075.829616380327,2998.5368016347816,200,40,2,0
1445.580788026987,2998.540238719661,250,42,2,0
800.9478284873151,2998.6227361702013,250,43,2,0
1329.8264324771646,2998.64521660877,265,40,2,0
1093.5384176434989,2998.6799708292338,265,45,2,0
1065.0410919275894,2999.0206166105245,235,42,2,0
626.4637708263385,2999.062951719227,235,42,2,0
819.4438046366786,2999.084513641641,245,42,2,0
1184.0713169993658,2999.1237555827247,310,48,2,0
1478.5217725105024,2999.124633992136,240,46,2,0
1188.4037517348013,2999.1253193628636,300,44,2,0
1187.7661782422465,2999.151349215886,250,40,2,0
1109.5985119876764,2999.2101383559757,260,41,2,0
1319.665053942429,2999.3741479755863,315,46,2,0
727.842031797508,2999.4515511900768,270,43,2,0
540.5913660958523,2999.4905887439904,360,46,2,0
1177.341462704697,2999.530783817816,260,41,2,0
1644.6624203663396,2999.6788788588447,285,45,2,0
1632.7461636530002,2999.790003810377,295,49,2,0
779.792506035988,2999.794402961511,295,48,2,0
1047.2948516184388,2999.838565189218,265,49,2,0
1086.545172583348,2999.926193010534,235,41,2,0
508.983242809936,3000.0780173552075,280,47,2,0
645.9238217783115,3000.15312056748,270,42,2,0
780.7733222640472,3000.1569358357524,255,43,2,0
714.4234078022196,3000.1780688045355,340,50,2,0
648.1774571376665,3000.2788607867956,280,47,2,0
1241.186862742821,3000.304735302997,270,48,2,0
1483.101835673155,3000.455901054237,330,50,2,0
835.1645465354719,3000.505606332627,245,45,2,0
965.9885483792694,3000.610840880904,335,50,2,0
499.8989307405262,3000.6196813224615,295,41,2,0
1247.6801993180013,3000.690025967937,220,41,2,0
974.0530191165053,3000.7092310483636,275,43,2,0
561.2843223096647,3000.7099050780344,395,45,2,0
1602.3713396259952,3000.9036758099433,255,42,2,0
1351.2796373055291,3000.96326167531,220,41,2,0
1577.054647993887,3001.020420441317,405,50,2,0
692.1152214478304,3001.040561687194,225,41,2,0
1553.9528306779773,3001.132799655886,310,49,2,0
813.5781988827508,3001.16297584952,230,46,2,0
1615.7439467166573,3001.2260372489754,380,50,2,0
